id,date,orbit_direction,look_side,incident_angle,time,iceye_id,dirname,filename,wet,test,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,WE01,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,Da01,Db01,Db02,Dc01,DE01,count
12,2024/07/06,Ascending,Left,217,18:10,4147070,20240706_AL_217_4147070,ICEYE_X7_ARD_SLED_4147070_20240706T181039_8Bit_Shifted_V1.tif,,1,,,,,,,,,,,,,,b,,t,,,,,,,,,,,,,b,,,,3
14,2024/07/16,Ascending,Left,237,7:40,4155938,20240716_AL_237_4155938,ICEYE_X13_ARD_SLED_4155938_20240716T074022_8Bit_Shifted_V1_cv2.tif,1,1,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,1
27,2025/05/23,Ascending,Left,152,2:40,4762339,20250523_AL_152_4762339,ICEYE_X21_ARD_SLED_4762339_20250523T024045_8Bit_Shifted_V1.tif,1,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,1
28,2025/05/23,Descending,Right,174,13:30,4763070,20250523_DR_174_4763070,ICEYE_X49_ARD_SLED_4763070_20250523T133025_8Bit_Shifted_V1.tif,1,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,1
29,2025/06/02,Ascending,Left,280,7:08,4804985,20250602_AL_280_4804985,ICEYE_X49_ARD_SLED_4804985_20250602T070806_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,1
30,2025/06/03,Ascending,Left,155,7:02,4807389,20250603_AL_155_4807389,ICEYE_X47_ARD_SLED_4807389_20250603T070207_8Bit.tif,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,1
31,2025/06/03,Descending,Right,185,8:42,4807390,20250603_DR_185_4807390,ICEYE_X47_ARD_SLED_4807390_20250603T084220_8Bit_Shifted_V1.tif,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,1
32,2025/06/14,Ascending,Left,287,2:10,4872258,20250614_AL_287_4872258,ICEYE_X47_ARD_SLED_4872258_20250614T021045_8Bit_Shifted_V1.tif,,,,,,,,,,,,,b,,,,,,,,,,t,,,,,,,,,b,,,3
33,2025/06/17,Descending,Left,245,20:18,4907926,20250617_DL_245_4907926,ICEYE_X38_ARD_SLED_4907926_20250617T201819_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,1
34,2025/06/28,Ascending,Left,270,2:31,5053541,20250628_AL_270_5053541,ICEYE_X8_ARD_SLED_5053541_20250628T023143_8Bit_Shifted_V1.tif,1,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,1
35,2025/06/28,Descending,Left,237,0:13,5052418,20250628_DL_237_5052418,ICEYE_X47_ARD_SLED_5052418_20250628T001347_8Bit_Shifted_V1.tif,1,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,b,,2
36,2025/07/06,Ascending,Left,351,1:47,5191934,20250706_AL_351_5191934,ICEYE_X2_ARD_SLED_5191934_20250706T014742_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,1
37,2025/07/07,Ascending,Left,347,16:08,5211421,20250707_AL_347_5211421,ICEYE_X47_ARD_SLED_5211421_20250707T160832_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,1
38,2025/07/29,Descending,Left,338,11:18,5609577,20250729_DL_338_5609577,ICEYE_X47_ARD_SLED_5609577_20250729T111835_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,1
39,2025/08/05,Ascending,Left,378,3:19,5688133,20250805_AL_378_5688133,ICEYE_X42_ARD_SLED_5688133_20250805T031957_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,1
40,2025/08/07,Ascending,Left,381,2:34,5712729,20250807_AL_381_5712729,ICEYE_X8_ARD_SLED_5712729_20250807T023449_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,1
41,2025/08/11,Descending,Left,342,22:44,5777342,20250811_DL_342_5777342,ICEYE_X11_ARD_SLED_5777342_20250811T224459_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,1
42,2025/09/12,Ascending,Left,281,1:50,6145146,20250912_AL_281_6145146,ICEYE_X2_ARD_SLED_6145146_20250912T015011_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,t,,,2
43,2025/09/12,Descending,Left,233,22:56,6154126,20250912_DL_233_6154126,ICEYE_X13_ARD_SLED_6154126_20250912T225656_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,1
45,2025/09/14,Ascending,Left,294,11:26,6179036,20250914_AL_294_6179036,ICEYE_X47_ARD_SLED_6179036_20250914T112628_8Bit.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,1
46,2025/09/17,Descending,Left,244,19:10,6215320,20250917_DL_244_6215320,ICEYE_X55_ARD_SLED_6215320_20250917T191044_8Bit_Shifted_V1_cv2.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,t,,2
47,2025/09/21,Ascending,Right,301,3:56,6254366,20250921_AR_301_6254366,ICEYE_X44_ARD_SLED_6254366_20250921T035642_8Bit.tif,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,1
48,2025/09/22,Ascending,Right,287,7:13,6264897,20250922_AR_287_6264897,ICEYE_X25_ARD_SLED_6264897_20250922T071248_8Bit_Shifted_V1_cv2.tif,1,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,1
51,2025/10/06,Ascending,Left,230,1:52,6419039,20251006_AL_230_6419039,ICEYE_X2_ARD_SLED_6419039_20251006T015243_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,1
53,2025/10/15,Ascending,Left,230,3:29,6551815,20251015_AL_230_6551815,ICEYE_X44_ARD_SLED_6551815_20251015T032923_8Bit_Shifted_V1.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,1
