rid,pair_id,split,sar_base,sar_target,ndvi_base,ndvi_target,terrain,precip_-5,precip_-4,precip_-3,precip_-2,precip_-1,incidence_angle,orbit_direction,look_side,delta_days
1,W001,train,20240516_AR_248_4076406,20240527_AR_202_4100113,S2_20240530,S2_20240530,depmap,0,0,8.2,14,12.8,20.16845237,Ascending,Right,11
2,W002,train,20240520_AL_276_4085792,20240526_AL_287_4098095,S2_20240530,S2_20240530,depmap,3.6,0,0,0,8.2,28.72972498,Ascending,Left,6
3,W003,train,20240615_AL_397_4122608,20240623_AL_394_4131399,S2_20240614,S2_20240624,depmap,10.5,24.7,0,22,1.7,39.41334143,Ascending,Left,8
4,W004,valid,20240617_AL_274_4124930,20240622_AL_254_4130789,S2_20240614,S2_20240624,depmap,0,0,10.5,24.7,0,25.38612067,Ascending,Left,5
5,W005,train,20240702_AR_312_4142037,20240715_AR_326_4154896,S2_20240624,S2_20240722,depmap,41.8,5.6,29.8,0,11.6,32.64661972,Ascending,Right,13
6,W006,valid,20240815_AR_272_4200893,20240818_AR_272_4206697,S2_20240729,S2_20240729,depmap,0,0,0,5,17.3,27.21665612,Ascending,Right,3
7,W007,train,20240815_AR_272_4200893,20240819_AR_273_4208910,S2_20240729,S2_20240729,depmap,0,0,5,17.3,14.5,27.28269776,Ascending,Right,4
8,W008,train,20240911_AL_225_4239884,20240926_AL_215_4263532,S2_20240912,S2_20241005,depmap,3.4,5.1,1.3,17.1,0.3,21.51548043,Ascending,Left,15
9,W009,train,20250603_AL_155_4807389,20250523_AL_152_4762339,S2_20250602,S2_20250602,depmap,1.1,0.8,15,14.9,0.2,15.20477478,Ascending,Left,-11
10,W010,train,20250603_DR_185_4807390,20250523_DR_174_4763070,S2_20250602,S2_20250602,depmap,1.1,0.8,15,14.9,0.2,17.39272679,Descending,Right,-11
11,W011,valid,20250614_AL_287_4872258,20250628_AL_270_5053541,S2_20250614,S2_20250629,depmap,0,0,0.1,15.1,25.8,26.94288112,Ascending,Left,14
12,W012,train,20250617_DL_245_4907926,20250628_DL_237_5052418,S2_20250614,S2_20250629,depmap,0,0,0.1,15.1,25.8,23.74229941,Descending,Left,11
13,W013,train,20250921_AR_301_6254366,20250922_AR_287_6264897,S2_20250920,S2_20250920,depmap,0,0,0,34.7,3.7,28.6971722,Ascending,Right,1
14,WE01,test,20240706_AL_217_4147070,20240716_AL_237_4155938,S2_20240624,S2_20240722,depmap,5.6,29.8,0,11.6,10.7,23.70806898,Ascending,Left,10
16,D001,train,20240520_AL_276_4085792,20240530_AL_266_4103818,S2_20240530,S2_20240530,depmap,14,12.8,0.1,0,0,26.60496714,Ascending,Left,10
17,D002,train,20240703_AL_207_4143013,20240706_AL_217_4147070,S2_20240624,S2_20240624,depmap,0,0,0,0.3,0,21.67976394,Ascending,Left,3
18,D003,valid,20240727_AR_291_4170523,20240729_AR_287_4172773,S2_20240727,S2_20240729,depmap,0.6,0,0,0,0,28.69520148,Ascending,Right,2
19,D004,train,20240815_AR_272_4200893,20240829_AR_279_4217612,S2_20240729,S2_20240831,depmap,0,0,0,0,0,27.923401,Ascending,Right,14
20,D005,train,20240913_AL_373_4243130,20240915_AL_367_4248030,S2_20240912,S2_20240915,depmap,0,0,0,0,0,36.70942735,Ascending,Left,2
21,D006,train,20241022_AL_375_4321110,20241024_AL_367_4324545,S2_20241020,S2_20241020,depmap,0.3,0,0,0,0,36.66111255,Ascending,Left,2
22,D007,valid,20250602_AL_280_4804985,20250614_AL_287_4872258,S2_20250602,S2_20250612,depmap,0.1,0,0,0,0,28.7338786,Ascending,Left,12
23,D008,train,20250706_AL_351_5191934,20250707_AL_347_5211421,S2_20250704,S2_20250704,depmap,0,0,0,0,0,34.68478503,Ascending,Left,1
24,D009,train,20250729_DL_338_5609577,20250811_DL_342_5777342,S2_20250729,S2_20250816,depmap,0,0,0,0,0,34.16661355,Descending,Left,13
25,D010,train,20250805_AL_378_5688133,20250807_AL_381_5712729,S2_20250803,S2_20250803,depmap,0.7,0,0,0,0,38.13324146,Ascending,Left,2
26,D011,train,20250912_AL_281_6145146,20250914_AL_294_6179036,S2_20250917,S2_20250917,depmap,0,0,0,0.3,0,29.41698166,Ascending,Left,2
27,D012,valid,20250912_DL_233_6154126,20250917_DL_244_6215320,S2_20250917,S2_20250917,depmap,0.3,0,0,0,0,24.35775311,Descending,Left,5
28,D013,train,20251006_AL_230_6419039,20251015_AL_230_6551815,S2_20251005,S2_20251009,depmap,1.9,2.3,0,0,0,22.9798774,Ascending,Left,9
29,Da01,train,20240516_AR_248_4076406,20240729_AR_287_4172773,S2_20240530,S2_20240729,depmap,0.6,0,0,0,0,28.69520148,Ascending,Right,74
30,Da02,train,20250614_AL_287_4872258,20250912_AL_281_6145146,S2_20250614,S2_20250917,depmap,0,0,0,0,0,28.11513181,Ascending,Left,90
31,Db01,train,20240706_AL_217_4147070,20240911_AL_225_4239884,S2_20240624,S2_20240912,depmap,0.4,0,0.3,0,0,22.54654682,Ascending,Left,67
32,Dc01,train,20250628_DL_237_5052418,20250917_DL_244_6215320,S2_20250629,S2_20250917,depmap,0.3,0,0,0,0,24.35775311,Descending,Left,81
33,DE01,test,20240530_AL_266_4103818,20240617_AL_274_4124930,S2_20240530,S2_20240614,depmap,0,16.3,0,0,0,27.39917762,Ascending,Left,18
