rid,id,x,y,type,usage,usage (1 letter),year,area,dupicate,control,elora_area_id
001,TW24BB0110,547030,4833398,WATER,train/valid,T,2024,BB011,0,FALSE,
002,TW24BD0520,549971,4831941,WATER,train/valid,T,2024,BD052,0,FALSE,
003,TW25CB0120,546977,4833287,WATER,train/valid,T,2025,CB012,0,FALSE,
004,TW25BB0110,547375,4833632,WATER,train/valid,T,2025,BB011,0,FALSE,
005,EW24DB0210,545970,4832002,WATER,test,E,2024,DB021,0,FALSE,
006,EW24BB0110,547762,4833948,WATER,test,E,2024,BB011,0,FALSE,
007,TB24CC0120,547475,4832687,BUILDING,train/valid,T,2024,CC012,0,FALSE,
008,TB24BC0120,548510,4833453,BUILDING,train/valid,T,2024,BC012,0,FALSE,
009,TB25BD0430,548438,4832288,BUILDING,train/valid,T,2025,BD043,0,FALSE,
010,TB25BD0440,548773,4832163,BUILDING,train/valid,T,2025,BD044,0,FALSE,
011,EB24CC0120,547335,4832833,BUILDING,test,E,2024,CC012,0,FALSE,
012,EB24CC0420,547995,4832109,BUILDING,test,E,2024,CC042,0,FALSE,
013,TV24CB0310,546643,4832601,VEGETATION,train/valid,T,2024,CB031,0,FALSE,
014,TV24BB0310,547862,4833004,VEGETATION,train/valid,T,2024,BB031,0,FALSE,
015,TV25AB0120,549421,4833908,VEGETATION,train/valid,T,2025,AB012,0,FALSE,
016,TV25AB0630,550003,4833229,VEGETATION,train/valid,T,2025,AB063,0,FALSE,
017,EV24AB0120,549222,4834196,VEGETATION,test,E,2024,AB012,0,FALSE,
018,EV24CB0310,546402,4832441,VEGETATION,test,E,2024,CB031,0,FALSE,
019,TS24AA0110,548337,4834687,SOIL,train/valid,T,2024,AA011,0,FALSE,
020,TS24AB0410,548902,4833544,SOIL,train/valid,T,2024,AB041,0,FALSE,
021,TS24AB0820,549256,4833237,SOIL,train/valid,T,2024,AB082,0,FALSE,
022,TS24AC0310,549747,4832576,SOIL,train/valid,T,2024,AC031,0,FALSE,
023,TS24AC0210,550084,4832918,SOIL,train/valid,T,2024,AC021,0,FALSE,
024,TS24BA0320,547346,4833964,SOIL,train/valid,T,2024,BA032,0,FALSE,
025,TS24BC0410,548878,4833220,SOIL,train/valid,T,2024,BC041,0,FALSE,
026,TS24BD0110,548856,4832918,SOIL,train/valid,T,2024,BD011,0,FALSE,
027,TS24BC0710,548479,4832581,SOIL,train/valid,T,2024,BC071,0,FALSE,
028,TS24BD0430,549053,4831513,SOIL,train/valid,T,2024,BD043,0,FALSE,
029,TS24BD0630,549184,4831478,SOIL,train/valid,T,2024,BD063,0,FALSE,
030,TS24BE0210,549679,4831263,SOIL,train/valid,T,2024,BE021,0,FALSE,
031,TS24CA0210,546478,4833450,SOIL,train/valid,T,2024,CA021,0,FALSE,
032,TS24CA0410,546391,4832982,SOIL,train/valid,T,2024,CA041,0,FALSE,
033,TS24CB0210,546521,4832859,SOIL,train/valid,T,2024,CB021,0,FALSE,
034,TS24CB0110,547092,4832915,SOIL,train/valid,T,2024,CB011,0,FALSE,
035,TS24CD0110,548437,4831829,SOIL,train/valid,T,2024,CD011,0,FALSE,
036,TS24CD0310,547973,4831674,SOIL,train/valid,T,2024,CD031,0,FALSE,
037,TS24CD0710,548769,4830745,SOIL,train/valid,T,2024,CD071,0,FALSE,
038,TS24CE0210,549316,4830403,SOIL,train/valid,T,2024,CE021,0,FALSE,
039,TS24DB0510,545984,4831655,SOIL,train/valid,T,2024,DB051,0,FALSE,
040,TS24DB0520,546113,4831474,SOIL,train/valid,T,2024,DB052,0,FALSE,
041,TS24DB0320,546555,4831769,SOIL,train/valid,T,2024,DB032,0,FALSE,
042,TS24DD0110,547356,4830724,SOIL,train/valid,T,2024,DD011,0,FALSE,
043,TS25AA0310,548223,4834080,SOIL,train/valid,T,2025,AA031,0,FALSE,
044,TS25BC0210,548180,4833005,SOIL,train/valid,T,2025,BC021,0,FALSE,
045,TS25BC0220,547883,4832617,SOIL,train/valid,T,2025,BC022,0,FALSE,
046,TS25BC0310,548189,4832759,SOIL,train/valid,T,2025,BC031,0,FALSE,
047,TS25BC0320,548059,4832621,SOIL,train/valid,T,2025,BC032,0,FALSE,
048,TS25BC0520,548792,4832863,SOIL,train/valid,T,2025,BC052,0,FALSE,
049,TS25BC0610,548335,4832651,SOIL,train/valid,T,2025,BC061,0,FALSE,
050,TS25BC0620,548154,4832492,SOIL,train/valid,T,2025,BC062,0,FALSE,
051,TS25BC0710,548482,4832552,SOIL,train/valid,T,2025,BC071,0,FALSE,
052,TS25BC0720,548297,4832354,SOIL,train/valid,T,2025,BC072,0,FALSE,
053,TS25BD0330,549443,4832195,SOIL,train/valid,T,2025,BD033,0,FALSE,
054,TS25BD0410,548887,4832367,SOIL,train/valid,T,2025,BD041,0,FALSE,
055,TS25BD0510,549775,4831988,SOIL,train/valid,T,2025,BD051,0,FALSE,
056,TS25BD0610,549607,4831570,SOIL,train/valid,T,2025,BD061,0,FALSE,
057,TS25BD0630,549228,4831488,SOIL,train/valid,T,2025,BD063,0,FALSE,
058,TS25CC0210,547133,4832044,SOIL,train/valid,T,2025,CC021,0,FALSE,
059,TS25CC0510,547460,4831251,SOIL,train/valid,T,2025,CC051,0,FALSE,
060,TS25CD0110,548344,4831876,SOIL,train/valid,T,2025,CD011,0,FALSE,
061,TS25CD0120,548241,4831596,SOIL,train/valid,T,2025,CD012,0,FALSE,
062,TS25CD0320,548508,4831177,SOIL,train/valid,T,2025,CD032,0,FALSE,
063,TS25CD0520,547822,4831052,SOIL,train/valid,T,2025,CD052,0,FALSE,
064,TS25DB0320,546604,4831628,SOIL,train/valid,T,2025,DB032,0,FALSE,
065,TS25DC0110,546625,4831102,SOIL,train/valid,T,2025,DC011,0,FALSE,
066,TS25DD0130,547869,4830440,SOIL,train/valid,T,2025,DD013,0,FALSE,
067,ES24BD0311,549190,4832965,SOIL,test,E,2024,BD031,1,TRUE,E-10
068,ES24BD0312,549310,4832845,SOIL,test,E,2024,BD031,2,TRUE,E-10
069,ES24BD0313,549430,4832725,SOIL,test,E,2024,BD031,3,TRUE,E-10
070,ES24BD0314,549430,4832845,SOIL,test,E,2024,BD031,4,TRUE,E-10
071,ES24BD0315,549310,4832965,SOIL,test,E,2024,BD031,5,TRUE,E-10
072,ES24BD0316,549190,4832845,SOIL,test,E,2024,BD031,6,TRUE,E-10
073,ES24BD0317,549310,4832725,SOIL,test,E,2024,BD031,7,TRUE,E-10
074,ES24BD0318,549250,4832785,SOIL,test,E,2024,BD031,8,TRUE,E-10
075,ES24CC0211,547410,4832275,SOIL,test,E,2024,CC021,1,TRUE,E-27B
076,ES24CC0212,547280,4832155,SOIL,test,E,2024,CC021,2,TRUE,E-27B
077,ES24CC0213,547155,4832035,SOIL,test,E,2024,CC021,3,TRUE,E-27B
078,ES24CC0214,547155,4832155,SOIL,test,E,2024,CC021,4,TRUE,E-27B
079,ES24CC0215,547280,4832275,SOIL,test,E,2024,CC021,5,TRUE,E-27B
080,ES24CC0216,547410,4832155,SOIL,test,E,2024,CC021,6,TRUE,E-27B
081,ES24CC0217,547280,4832035,SOIL,test,E,2024,CC021,7,TRUE,E-27B
082,ES24CD0311,548170,4831560,SOIL,test,E,2024,CD031,1,TRUE,E-30
083,ES24CD0312,548050,4831560,SOIL,test,E,2024,CD031,2,TRUE,E-30
084,ES24CD0313,548050,4831435,SOIL,test,E,2024,CD031,3,TRUE,E-30
085,ES24CD0314,548170,4831435,SOIL,test,E,2024,CD031,4,TRUE,E-30
086,ES24CD0315,548110,4831500,SOIL,test,E,2024,CD031,5,TRUE,E-30
087,ES24BE0411,550825,4831320,SOIL,test,E,2024,BE041,1,TRUE,E-55
088,ES24BE0412,550760,4831255,SOIL,test,E,2024,BE041,2,TRUE,E-55
089,ES24BE0413,550890,4831190,SOIL,test,E,2024,BE041,3,TRUE,E-55
090,ES24BE0414,550825,4831255,SOIL,test,E,2024,BE041,4,TRUE,E-55
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
