id,date,name,test,control,control_background,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,WE01,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,Da01,Db01,Db02,Dc01,DE01,count
1,2024/04/25,S2_20240425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,2024/05/30,S2_20240530,1,,,"b,t","b,t",,,,,,,,,,,,,"b,t",,,,,,,,,,,,,b,,,,b,5
5,2024/06/14,S2_20240614,1,,,,,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3
6,2024/06/24,S2_20240624,1,,,,,t,t,b,,,,,,,,,b,,"b,t",,,,,,,,,,,,,b,,,,6
7,2024/07/22,S2_20240722,1,1,S2_20240624,,,,,t,,,,,,,,,t,,,,,,,,,,,,,,,,,,,2
8,2024/07/27,S2_20240727,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,1
9,2024/07/29,S2_20240729,,,,,,,,,"b,t","b,t",,,,,,,,,,t,b,,,,,,,,,,t,,,,,5
10,2024/08/31,S2_20240831,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,1
11,2024/09/02,S2_20240902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,2024/09/05,S2_20240905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,2024/09/10,S2_20240910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,2024/09/12,S2_20240912,,,,,,,,,,,b,,,,,,,,,,,b,,,,,,,,,,t,,,,3
15,2024/09/15,S2_20240915,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,1
16,2024/10/05,S2_20241005,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,1
17,2024/10/17,S2_20241017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,2024/10/20,S2_20241020,,,,,,,,,,,,,,,,,,,,,,,"b,t",,,,,,,,,,,,,1
19,2024/11/09,S2_20241109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,2025/04/13,S2_20250413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,2025/05/10,S2_20250510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,2025/06/02,S2_20250602,,,,,,,,,,,,"b,t","b,t",,,,,,,,,,,b,,,,,,,,,,,,3
23,2025/06/12,S2_20250612,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,1
24,2025/06/14,S2_20250614,,,,,,,,,,,,,,b,b,,,,,,,,,,,,,,,,,,b,,,3
25,2025/06/29,S2_20250629,,,,,,,,,,,,,,t,t,,,,,,,,,,,,,,,,,,,b,,3
26,2025/07/02,S2_20250702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,2025/07/04,S2_20250704,,,,,,,,,,,,,,,,,,,,,,,,,"b,t",,,,,,,,,,,1
28,2025/07/12,S2_20250712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,2025/07/21,S2_20250721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,2025/07/29,S2_20250729,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,1
31,2025/08/03,S2_20250803,,,,,,,,,,,,,,,,,,,,,,,,,,,"b,t",,,,,,,,,1
32,2025/08/16,S2_20250816,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,1
33,2025/08/18,S2_20250818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,2025/08/31,S2_20250831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,2025/09/17,S2_20250917,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b,t","b,t",,,,t,t,,4
36,2025/09/20,S2_20250920,,,,,,,,,,,,,,,,"b,t",,,,,,,,,,,,,,,,,,,,1
37,2025/09/30,S2_20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,2025/10/05,S2_20251005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,1
39,2025/10/09,S2_20251009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,1
40,2025/11/19,S2_20251119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
